Location,Year,Indicator,Value,Unit
WS,2019,SE_PRE_PARTN,35.1,PERCENT
WS,2021,SE_PRE_PARTN,31.22,PERCENT
WS,2022,SE_PRE_PARTN,31.35,PERCENT
WS,2014,SE_GC_TCAQ,100.0,INDEX
WS,2016,SE_GC_TCAQ,100.0,INDEX
TK,2016,SE_GC_TCAQ,41.7,PERCENT
TK,2019,SE_GC_TCAQ,83.3,PERCENT
NU,2015,SE_TOT_PRFL,53.0,PERCENT
NU,2018,SE_TOT_PRFL,57.0,PERCENT
FJ,2019,SE_GC_TCAQ,93.44,PERCENT
FJ,2020,SE_GC_TCAQ,88.31,PERCENT
FJ,2021,SE_GC_TCAQ,94.31,PERCENT
FJ,2022,SE_GC_TCAQ,94.17,PERCENT
KI,2012,SE_TOT_PRFL,39.0,PERCENT
KI,2015,SE_TOT_PRFL,73.0,PERCENT
TO,2015,SE_TOT_PRFL,83.0,PERCENT
TO,2018,SE_TOT_PRFL,92.0,PERCENT
TO,2021,SE_TOT_PRFL,87.0,PERCENT
CK,2015,SE_TOT_PRFL,77.0,PERCENT
WS,2015,SE_GPI_TCAQ,100.0,INDEX
WS,2016,SE_GPI_TCAQ,100.0,INDEX
WS,2017,SE_GPI_TCAQ,100.0,INDEX
WS,2018,SE_GPI_TCAQ,100.0,INDEX
WS,2019,SE_GPI_TCAQ,100.0,INDEX
CK,2015,SE_TOT_PRFL,38.0,PERCENT
CK,2018,SE_TOT_PRFL,68.0,PERCENT
VU,2018,SPC_4_6_1,88.31,PERCENT
SB,2015,SE_ACS_SANIT,22.0,PERCENT
SB,2016,SE_ACS_SANIT,22.5,PERCENT
SB,2018,SE_ACS_SANIT,24.6,PERCENT
WS,2016,SE_GC_TCAQ,37.0,INDEX
FM,2012,SE_TOT_PRFL,80.0,PERCENT
FM,2015,SE_TOT_PRFL,84.0,PERCENT
FM,2018,SE_TOT_PRFL,90.0,PERCENT
PG,2016,SE_TOT_GPI,99.0,INDEX
TV,2016,SE_ACS_H2O,63.0,PERCENT
TO,2015,SE_TOT_PRFL,44.0,PERCENT
TO,2018,SE_TOT_PRFL,59.0,PERCENT
NC,2018,SE_ACS_SANIT,100.0,PERCENT
TV,2016,SE_TOT_GPI,131.0,INDEX
MH,2019,SE_GC_TCAQ,48.26,PERCENT
MH,2020,SE_GC_TCAQ,43.95,PERCENT
MH,2022,SE_GC_TCAQ,66.93,PERCENT
FJ,2018,SE_TOT_PRFL,46.0,PERCENT
CK,2020,SE_ACS_CMPTR,100.0,PERCENT
CK,2021,SE_ACS_CMPTR,100.0,PERCENT
CK,2022,SE_ACS_CMPTR,100.0,PERCENT
VU,2018,SE_TOT_PRFL,88.0,PERCENT
WS,2017,SE_TOT_GPI,101.0,INDEX
SB,2011,SE_GC_TCAQ,71.1,PERCENT
SB,2012,SE_GC_TCAQ,34.0,PERCENT
SB,2013,SE_GC_TCAQ,50.0,PERCENT
SB,2018,SE_GC_TCAQ,36.1,PERCENT
NU,2016,SE_GC_TCAQ,91.7,PERCENT
FM,2012,SE_TOT_PRFL,57.0,PERCENT
FM,2015,SE_TOT_PRFL,71.0,PERCENT
FM,2021,SE_TOT_PRFL,56.0,PERCENT
NR,2014,SE_TOT_PRFL,39.1,PERCENT
SB,2015,SE_GPI_TCAQ,102.0,INDEX
NR,2014,SE_TOT_GPI,105.0,INDEX
CK,2011,SE_GC_TCAQ,80.4,PERCENT
CK,2013,SE_GC_TCAQ,87.3,PERCENT
CK,2014,SE_GC_TCAQ,89.3,PERCENT
CK,2020,SE_GC_TCAQ,100.0,PERCENT
CK,2021,SE_GC_TCAQ,100.0,PERCENT
VU,2017,SE_GC_TCAQ,81.54,PERCENT
VU,2019,SE_GC_TCAQ,94.35,PERCENT
NR,2016,SE_ACS_SANIT,50.0,PERCENT
NR,2014,SE_TOT_PRFL,28.5,PERCENT
CK,2018,SE_TOT_GPI,109.0,INDEX
FM,2018,SE_GC_TCAQ,31.19,PERCENT
FM,2019,SE_GC_TCAQ,26.12,PERCENT
FM,2020,SE_GC_TCAQ,23.25,PERCENT
FM,2021,SE_GC_TCAQ,24.48,PERCENT
FM,2022,SE_GC_TCAQ,14.55,PERCENT
MH,2022,SE_ACS_ELECT,87.1,PERCENT
KI,2020,SE_GPI_TCAQ,94.0,INDEX
MH,2020,SE_GC_TCAQ,63.46,PERCENT
MH,2021,SE_GC_TCAQ,83.62,PERCENT
MH,2022,SE_GC_TCAQ,81.4,PERCENT
TK,2015,SE_TOT_PRFL,78.0,PERCENT
TK,2018,SE_TOT_PRFL,59.0,PERCENT
NR,2018,SE_TOT_GPI,142.0,INDEX
SB,2016,SE_ACS_SANIT,34.5,PERCENT
SB,2018,SE_ACS_SANIT,37.8,PERCENT
TK,2018,SE_TOT_GPI,141.0,INDEX
TV,2012,SE_TOT_PRFL,31.0,PERCENT
TV,2018,SE_TOT_PRFL,47.0,PERCENT
TV,2021,SE_TOT_PRFL,44.0,PERCENT
FM,2021,SE_ACS_CMPTR,32.2,PERCENT
FM,2022,SE_ACS_CMPTR,32.2,PERCENT
FM,2017,SE_TOT_GPI,100.0,INDEX
WS,2019,SE_TOT_PRFL,27.0,PERCENT
TO,2020,SE_GC_TCAQ,0.0,PERCENT
TO,2022,SE_GC_TCAQ,100.0,PERCENT
SB,2015,SE_TOT_PRFL,98.0,PERCENT
VU,2023,SE_TOT_ICTS,16.8,PERCENT
TK,2016,SE_GC_TCAQ,63.6,PERCENT
TK,2019,SE_GC_TCAQ,46.67,PERCENT
TK,2020,SE_GC_TCAQ,46.67,PERCENT
TK,2021,SE_GC_TCAQ,46.67,PERCENT
MH,2020,SE_GPI_TCAQ,88.0,INDEX
PW,2016,SE_GC_TCAQ,33.2,INDEX
NR,2019,SE_ACS_DISAB,20.0,PERCENT
NR,2022,SE_ACS_DISAB,33.3,PERCENT
KI,2015,SE_TOT_PRFL,91.0,PERCENT
KI,2018,SE_TOT_PRFL,89.0,PERCENT
TO,2020,SE_PRE_PARTN,88.91,PERCENT
TO,2022,SE_PRE_PARTN,81.99,PERCENT
TK,2019,SE_GC_TCAQ,0.0,PERCENT
TV,2015,SE_PRE_PARTN,100.0,PERCENT
TV,2016,SE_PRE_PARTN,92.1,PERCENT
TV,2018,SE_PRE_PARTN,90.8,PERCENT
TV,2019,SE_PRE_PARTN,80.0,PERCENT
NR,2018,SE_TOT_PRFL,68.0,PERCENT
SB,2016,SE_ACS_H2O,19.6,PERCENT
SB,2018,SE_ACS_H2O,19.0,PERCENT
SB,2019,SE_ACS_H2O,46.0,PERCENT
TV,2018,SE_TOT_GPI,123.0,INDEX
WS,2022,SE_ACC_HNDWSH,71.1,PERCENT
MH,2012,SE_TOT_PRFL,64.0,PERCENT
MH,2015,SE_TOT_PRFL,61.0,PERCENT
MH,2018,SE_TOT_PRFL,77.0,PERCENT
MH,2021,SE_TOT_PRFL,57.0,PERCENT
VU,2018,SE_TOT_GPI,124.0,INDEX
WS,2019,SE_ACS_DISAB,45.2,PERCENT
WS,2020,SE_ACS_DISAB,100.0,PERCENT
WS,2022,SE_ACS_DISAB,100.0,PERCENT
PW,2016,SE_GPI_TCAQ,152.0,INDEX
KI,2016,SE_TOT_GPI,125.0,INDEX
SB,2016,SE_GC_TCAQ,80.18,PERCENT
SB,2017,SE_GC_TCAQ,84.15,PERCENT
SB,2018,SE_GC_TCAQ,88.04,PERCENT
TO,2019,SE_TOT_PRFL,62.9,PERCENT
TK,2020,SE_GPI_TCAQ,333.0,INDEX
TV,2019,SE_ACS_SANIT,100.0,PERCENT
NR,2023,SE_TOT_PRFL,45.1,PERCENT
NU,2015,SE_TOT_GPI,110.0,INDEX
WS,2019,SE_TOT_PRFL,46.0,PERCENT
SB,2013,SE_PRE_PARTN,59.5,PERCENT
SB,2014,SE_PRE_PARTN,62.2,PERCENT
SB,2015,SE_PRE_PARTN,63.6,PERCENT
SB,2016,SE_PRE_PARTN,49.44,PERCENT
SB,2018,SE_PRE_PARTN,58.7,PERCENT
SB,2019,SE_PRE_PARTN,65.64,PERCENT
FJ,2018,SPC_4_6_1,99.81,PERCENT
MH,2015,SE_TOT_PRFL,26.0,PERCENT
MH,2018,SE_TOT_PRFL,50.0,PERCENT
NR,2020,SE_ACS_DISAB,0.0,PERCENT
NR,2022,SE_ACS_DISAB,25.0,PERCENT
FM,2018,SE_GC_TCAQ,30.24,PERCENT
FM,2019,SE_GC_TCAQ,27.29,PERCENT
FM,2020,SE_GC_TCAQ,24.18,PERCENT
FM,2021,SE_GC_TCAQ,27.87,PERCENT
TV,2016,SE_GC_TCAQ,74.6,PERCENT
TV,2018,SE_GC_TCAQ,86.76,PERCENT
TV,2019,SE_GC_TCAQ,80.95,PERCENT
TV,2021,SE_GC_TCAQ,63.72,PERCENT
TV,2022,SE_GC_TCAQ,48.81,PERCENT
VU,2023,SE_TOT_ICTS,23.3,PERCENT
CK,2014,SE_GC_TCAQ,88.7,PERCENT
TK,2016,SE_GC_TCAQ,66.7,PERCENT
TK,2019,SE_GC_TCAQ,57.14,PERCENT
TK,2020,SE_GC_TCAQ,57.14,PERCENT
TK,2021,SE_GC_TCAQ,57.14,PERCENT
PW,2014,SE_PRE_PARTN,90.4,PERCENT
PW,2020,SE_PRE_PARTN,89.32,PERCENT
NR,2012,SE_PRE_PARTN,100.0,PERCENT
NR,2014,SE_PRE_PARTN,61.6,PERCENT
NR,2016,SE_PRE_PARTN,67.3,PERCENT
NR,2019,SE_PRE_PARTN,89.2,PERCENT
NR,2020,SE_PRE_PARTN,70.95,PERCENT
TV,2019,SE_ACS_H2O,50.0,PERCENT
FM,2015,SE_TOT_PRFL,50.0,PERCENT
FM,2018,SE_TOT_PRFL,75.0,PERCENT
VU,2015,SE_ACS_SANIT,18.2,PERCENT
NR,2016,SE_ACS_CMPTR,33.3,PERCENT
NR,2020,SE_ACS_CMPTR,100.0,PERCENT
NR,2022,SE_ACS_CMPTR,0.0,PERCENT
SB,2015,SE_TOT_PRFL,61.0,PERCENT
SB,2018,SE_TOT_PRFL,66.0,PERCENT
MH,2016,SE_ACS_DISAB,21.28,PERCENT
TV,2015,SE_TOT_PRFL,83.0,PERCENT
TV,2018,SE_TOT_PRFL,92.0,PERCENT
TV,2018,SE_GC_TCAQ,65.08,PERCENT
TV,2019,SE_GC_TCAQ,60.71,PERCENT
TV,2020,SE_GC_TCAQ,62.12,PERCENT
TV,2021,SE_GC_TCAQ,55.88,PERCENT
TV,2022,SE_GC_TCAQ,28.7,PERCENT
PG,2016,SE_TOT_GPI,91.0,INDEX
PW,2016,SE_GPI_TCAQ,176.0,INDEX
KI,2015,SE_TOT_PRFL,81.0,PERCENT
KI,2018,SE_TOT_PRFL,87.0,PERCENT
NR,2018,SE_TOT_PRFL,59.0,PERCENT
TK,2016,SE_PRE_PARTN,80.0,PERCENT
TK,2019,SE_PRE_PARTN,92.31,PERCENT
TK,2020,SE_PRE_PARTN,100.0,PERCENT
TK,2021,SE_PRE_PARTN,56.25,PERCENT
SB,2010,SE_GC_TCAQ,70.8,PERCENT
SB,2016,SE_GC_TCAQ,82.2,PERCENT
SB,2017,SE_GC_TCAQ,86.56,PERCENT
SB,2019,SE_GC_TCAQ,93.92,PERCENT
TO,2014,SE_TOT_GPI,102.0,INDEX
PW,2012,SE_TOT_PRFL,98.0,PERCENT
PW,2021,SE_TOT_PRFL,96.0,PERCENT
NU,2016,SE_GC_TCAQ,50.0,PERCENT
SB,2010,SE_GC_TCAQ,72.1,PERCENT
SB,2015,SE_GC_TCAQ,68.0,PERCENT
KI,2014,SE_PRE_PARTN,70.0,PERCENT
KI,2018,SE_PRE_PARTN,96.2,PERCENT
KI,2020,SE_PRE_PARTN,97.67,PERCENT
TV,2016,SE_GC_TCAQ,76.6,PERCENT
TV,2018,SE_GC_TCAQ,80.0,PERCENT
TV,2019,SE_GC_TCAQ,78.3,PERCENT
TV,2021,SE_GC_TCAQ,62.04,PERCENT
TV,2022,SE_GC_TCAQ,46.46,PERCENT
PG,2016,SE_ACS_H2O,51.0,PERCENT
TO,2020,SE_ACS_DISAB,5.45,PERCENT
TO,2022,SE_ACS_DISAB,4.65,PERCENT
TK,2015,SE_TOT_PRFL,20.0,PERCENT
TK,2018,SE_TOT_PRFL,25.0,PERCENT
TO,2018,SPC_4_6_1,99.48,PERCENT
KI,2015,SE_TOT_PRFL,66.0,PERCENT
KI,2018,SE_TOT_PRFL,69.0,PERCENT
VU,2015,SE_TOT_PRFL,23.0,PERCENT
VU,2018,SE_TOT_PRFL,24.0,PERCENT
VU,2019,SE_GPI_TCAQ,172.0,INDEX
VU,2015,SE_TOT_GPI,98.0,INDEX
CK,2012,SE_GC_TCAQ,95.7,PERCENT
CK,2013,SE_GC_TCAQ,100.0,PERCENT
CK,2016,SE_GC_TCAQ,90.9,PERCENT
VU,2018,SE_GC_TCAQ,65.34,PERCENT
KI,2017,SE_GPI_TCAQ,104.0,INDEX
KI,2018,SE_GPI_TCAQ,104.0,INDEX
KI,2020,SE_GPI_TCAQ,97.0,INDEX
FJ,2018,SE_TOT_GPI,123.0,INDEX
PF,2020,SE_ACS_H2O,100.0,PERCENT
TV,2019,SE_TOT_PRFL,39.0,PERCENT
NU,2016,SE_GPI_TCAQ,100.0,INDEX
MH,2021,SE_ACC_HNDWSH,70.7,PERCENT
MH,2022,SE_ACC_HNDWSH,71.0,PERCENT
PW,2020,SE_ACS_DISAB,100.0,PERCENT
TV,2019,SE_ACS_ELECT,52.6,PERCENT
TV,2020,SE_ACS_ELECT,90.0,PERCENT
TV,2021,SE_ACS_ELECT,90.0,PERCENT
TV,2022,SE_ACS_ELECT,90.0,PERCENT
NU,2015,SE_GPI_PTNPRE,430.0,INDEX
NU,2016,SE_GPI_PTNPRE,171.0,INDEX
NU,2020,SE_GPI_PTNPRE,62.0,INDEX
TO,2015,SE_TOT_PRFL,55.0,PERCENT
TO,2018,SE_TOT_PRFL,62.0,PERCENT
NR,2022,SE_GC_TCAQ,75.0,PERCENT
KI,2015,SE_TOT_PRFL,65.0,PERCENT
KI,2018,SE_TOT_PRFL,63.0,PERCENT
NR,2007,SE_GC_TCAQ,84.2,INDEX
PW,2018,SE_TOT_GPI,102.0,INDEX
PG,2018,SE_TOT_PRFL,45.0,PERCENT
WS,2017,SE_ACS_CMPTR,91.0,PERCENT
MH,2020,SE_ACS_H2O,68.09,PERCENT
MH,2021,SE_ACS_H2O,70.7,PERCENT
MH,2022,SE_ACS_H2O,70.7,PERCENT
NR,2018,SE_TOT_PRFL,48.0,PERCENT
FJ,2019,SE_GC_TCAQ,91.54,PERCENT
FJ,2020,SE_GC_TCAQ,87.09,PERCENT
FJ,2021,SE_GC_TCAQ,94.15,PERCENT
FJ,2022,SE_GC_TCAQ,91.33,PERCENT
NU,2015,SE_PRE_PARTN,100.0,PERCENT
NU,2019,SE_PRE_PARTN,61.9,PERCENT
NU,2020,SE_PRE_PARTN,61.9,PERCENT
NR,2014,SE_TOT_PRFL,21.2,PERCENT
KI,2015,SE_TOT_PRFL,94.0,PERCENT
KI,2018,SE_TOT_PRFL,95.0,PERCENT
WS,2012,SE_TOT_PRFL,40.0,PERCENT
WS,2015,SE_TOT_PRFL,50.0,PERCENT
WS,2018,SE_TOT_PRFL,76.0,PERCENT
WS,2021,SE_TOT_PRFL,53.0,PERCENT
MH,2019,SE_ACS_INTNT,76.5,PERCENT
PW,2012,SE_TOT_PRFL,95.0,PERCENT
TO,2013,SE_GC_TCAQ,99.5,PERCENT
TO,2014,SE_GC_TCAQ,97.7,PERCENT
TO,2015,SE_GC_TCAQ,94.9,PERCENT
TO,2018,SE_GC_TCAQ,96.32,PERCENT
TO,2019,SE_GC_TCAQ,94.29,PERCENT
TO,2020,SE_GC_TCAQ,96.45,PERCENT
TO,2021,SE_GC_TCAQ,98.87,PERCENT
TO,2022,SE_GC_TCAQ,97.74,PERCENT
SB,2015,SE_GC_TCAQ,64.6,INDEX
CK,2011,SE_GPI_TCAQ,69.0,INDEX
TV,2018,SE_GC_TCAQ,63.77,PERCENT
TV,2019,SE_GC_TCAQ,57.45,PERCENT
TV,2020,SE_GC_TCAQ,58.97,PERCENT
TV,2021,SE_GC_TCAQ,67.57,PERCENT
TV,2022,SE_GC_TCAQ,32.61,PERCENT
TK,2016,SE_GC_TCAQ,36.4,PERCENT
TV,2019,SE_ACC_HNDWSH,52.6,PERCENT
TV,2021,SE_ACC_HNDWSH,100.0,PERCENT
TV,2022,SE_ACC_HNDWSH,100.0,PERCENT
NC,2015,SE_ADT_EDUCTRN,27.0,PERCENT
